index,date_time
0,2020-12-12
1,2020-12-13
2,2020-12-22
3,2020-12-24
4,2020-12-26
5,2021-01-06
6,2021-01-07
7,2021-01-08
8,2021-01-09
9,2021-01-10
10,2021-01-11
11,2021-01-12
12,2021-01-13
13,2021-01-14
14,2021-01-15
15,2021-01-16
16,2021-01-17
17,2021-01-19
18,2021-01-20
19,2021-01-21
20,2021-01-22
21,2021-01-23
22,2021-01-24
23,2021-01-25
24,2021-01-26
25,2021-01-27
26,2021-01-28
27,2021-01-29
28,2021-01-30
29,2021-01-31
30,2021-02-01
31,2021-02-02
32,2021-02-03
33,2021-02-04
34,2021-02-05
35,2021-02-06
36,2021-02-07
37,2021-02-08
38,2021-02-09
39,2021-02-10
40,2021-02-11
41,2021-02-12
42,2021-02-13
43,2021-02-14
44,2021-02-15
45,2021-02-16
46,2021-02-17
47,2021-02-18
48,2021-02-19
49,2021-02-20
50,2021-02-21
51,2021-02-22
52,2021-02-23
53,2021-02-24
54,2021-02-25
55,2021-02-26
56,2021-02-27
57,2021-02-28
58,2021-03-01
59,2021-03-02
60,2021-03-03
61,2021-03-04
62,2021-03-05
63,2021-03-06
64,2021-03-07
65,2021-03-08
66,2021-03-09
67,2021-03-10
68,2021-03-11
69,2021-03-12
70,2021-03-13
71,2021-03-14
72,2021-03-15
73,2021-03-16
74,2021-03-17
75,2021-03-18
76,2021-03-19
77,2021-03-20
78,2021-03-21
79,2021-03-22
80,2021-03-23
81,2021-03-24
82,2021-03-25
83,2021-03-26
84,2021-03-27
85,2021-03-28
86,2021-03-29
87,2021-03-30
88,2021-03-31
89,2021-04-01
90,2021-04-02
91,2021-04-03
92,2021-04-04
93,2021-04-05
94,2021-04-06
95,2021-04-07
96,2021-04-08
97,2021-04-09
98,2021-04-10
99,2021-04-11
100,2021-04-12
101,2021-04-13
102,2021-04-14
103,2021-04-15
104,2021-04-16
105,2021-04-17
106,2021-12-01
107,2021-12-02
108,2021-12-03
109,2021-12-04
110,2021-12-05
111,2021-12-06
112,2021-12-07
113,2021-12-08
114,2021-12-09
115,2021-12-10
116,2021-12-11
117,2021-12-12
118,2021-12-13
119,2021-12-14
120,2021-12-15
121,2021-12-16
122,2021-12-17
123,2021-12-18
124,2021-12-19
125,2021-12-20
126,2021-12-21
127,2021-12-22
128,2021-12-23
129,2021-12-24
130,2021-12-25
131,2021-12-26
132,2021-12-27
133,2021-12-28
134,2021-12-29
135,2021-12-30
136,2021-12-31
137,2022-01-01
138,2022-01-02
139,2022-01-03
140,2022-01-04
141,2022-01-05
142,2022-01-06
143,2022-01-07
144,2022-01-08
145,2022-01-09
146,2022-01-10
147,2022-01-11
148,2022-01-12
149,2022-01-13
150,2022-01-14
151,2022-01-15
152,2022-01-16
153,2022-01-17
154,2022-01-18
155,2022-01-19
156,2022-01-20
157,2022-01-21
158,2022-01-22
159,2022-01-23
160,2022-01-24
161,2022-01-25
162,2022-01-26
163,2022-01-27
164,2022-01-28
165,2022-01-29
166,2022-01-30
167,2022-01-31
168,2022-02-01
169,2022-02-02
170,2022-02-03
171,2022-02-04
172,2022-02-05
173,2022-02-06
174,2022-02-07
175,2022-02-08
176,2022-02-09
177,2022-02-10
178,2022-02-11
179,2022-02-12
180,2022-02-13
181,2022-02-14
182,2022-02-15
183,2022-02-16
184,2022-02-17
185,2022-02-18
186,2022-02-19
187,2022-02-20
188,2022-02-21
189,2022-02-22
190,2022-02-23
191,2022-02-24
192,2022-02-25
193,2022-02-26
194,2022-02-27
195,2022-02-28
196,2022-03-01
197,2022-03-02
198,2022-03-03
199,2022-03-04
200,2022-03-05
201,2022-03-06
202,2022-03-07
203,2022-03-08
204,2022-03-09
205,2022-03-10
206,2022-03-11
207,2022-03-12
208,2022-03-13
209,2022-03-14
210,2022-03-15
211,2022-03-16
212,2022-03-17
213,2022-03-18
214,2022-03-19
215,2022-03-20
216,2022-03-21
217,2022-03-22
218,2022-03-23
219,2022-03-24
220,2022-03-25
221,2022-03-26
222,2022-03-27
223,2022-03-28
224,2022-03-29
225,2022-03-30
226,2022-03-31
227,2022-04-01
228,2022-04-02
229,2022-04-03
230,2022-04-04
231,2022-04-05
232,2022-04-06
233,2022-04-07
234,2022-04-08
235,2022-04-09
236,2022-04-10
237,2022-04-11
238,2022-04-12
239,2022-04-13
240,2022-04-14
241,2022-04-15
242,2022-04-16
243,2022-04-17
244,2022-04-18
245,2022-04-19
246,2022-04-20
247,2022-04-21
248,2022-04-22
249,2022-11-29
250,2022-11-30
251,2022-12-01
252,2022-12-02
253,2022-12-03
254,2022-12-04
255,2022-12-05
256,2022-12-06
257,2022-12-07
258,2022-12-08
259,2022-12-09
260,2022-12-10
261,2022-12-11
262,2022-12-12
263,2022-12-13
264,2022-12-14
265,2022-12-15
266,2022-12-16
267,2022-12-17
268,2022-12-18
269,2022-12-19
270,2022-12-20
271,2022-12-21
272,2022-12-22
273,2022-12-23
274,2022-12-24
275,2022-12-25
276,2022-12-26
277,2022-12-27
278,2022-12-28
279,2022-12-29
280,2022-12-30
281,2022-12-31
282,2023-01-01
283,2023-01-02
284,2023-01-03
285,2023-01-04
286,2023-01-05
287,2023-01-06
288,2023-01-07
289,2023-01-08
290,2023-01-09
291,2023-01-10
292,2023-01-11
293,2023-01-12
294,2023-01-13
295,2023-01-14
296,2023-01-15
297,2023-01-16
298,2023-01-17
299,2023-01-18
300,2023-01-19
301,2023-01-20
302,2023-01-21
303,2023-01-22
304,2023-01-23
305,2023-01-24
306,2023-01-25
307,2023-01-26
308,2023-01-27
309,2023-01-28
310,2023-01-29
311,2023-01-30
312,2023-01-31
313,2023-02-01
314,2023-02-02
315,2023-02-03
316,2023-02-04
317,2023-02-05
318,2023-02-06
319,2023-02-07
320,2023-02-08
321,2023-02-09
322,2023-02-10
323,2023-02-11
324,2023-02-12
325,2023-02-13
326,2023-02-14
327,2023-02-15
328,2023-02-16
329,2023-02-17
330,2023-02-18
331,2023-02-19
332,2023-02-20
333,2023-02-21
334,2023-02-22
335,2023-02-23
336,2023-02-24
337,2023-02-25
338,2023-02-26
339,2023-02-27
340,2023-02-28
341,2023-03-01
342,2023-03-02
343,2023-03-03
344,2023-03-04
345,2023-03-05
346,2023-03-06
347,2023-03-07
348,2023-03-08
349,2023-03-09
350,2023-03-10
351,2023-03-11
352,2023-03-12
353,2023-03-13
354,2023-03-14
355,2023-03-15
356,2023-03-16
357,2023-03-17
358,2023-03-18
359,2023-03-19
360,2023-03-20
361,2023-03-21
362,2023-03-22
363,2023-03-23
364,2023-03-24
365,2023-03-25
366,2023-03-26
367,2023-03-27
368,2023-03-28
369,2023-03-29
370,2023-03-30
371,2023-03-31
372,2023-04-01
373,2023-04-02
374,2023-04-03
375,2023-04-04
376,2023-04-05
377,2023-04-06
378,2023-04-07
379,2023-04-08
380,2023-04-09
381,2023-04-10
382,2023-04-11
383,2023-04-12
384,2023-04-13
385,2023-04-14
386,2023-04-15
387,2023-04-16
388,2023-04-17
389,2023-04-18
390,2023-04-19
391,2023-04-20
392,2023-04-21
393,2023-04-22
394,2023-04-23
395,2023-04-24
396,2023-04-25
397,2023-04-26
398,2023-04-27
399,2023-04-28
400,2023-04-29
408,2023-11-29
409,2023-11-30
410,2023-12-01
411,2023-12-02
412,2023-12-03
413,2023-12-04
414,2023-12-05
415,2023-12-06
416,2023-12-07
417,2023-12-08
418,2023-12-09
419,2023-12-10
420,2023-12-11
421,2023-12-12
422,2023-12-13
423,2023-12-14
424,2023-12-15
425,2023-12-16
426,2023-12-17
427,2023-12-18
428,2023-12-19
429,2023-12-20
430,2023-12-21
431,2023-12-22
432,2023-12-23
433,2023-12-24
434,2023-12-25
435,2023-12-26
436,2023-12-27
437,2023-12-28
438,2023-12-29
439,2023-12-30
440,2023-12-31
441,2024-01-01
442,2024-01-02
443,2024-01-03
444,2024-01-04
445,2024-01-05
446,2024-01-06
447,2024-01-07
448,2024-01-08
449,2024-01-09
450,2024-01-10
451,2024-01-11
452,2024-01-12
453,2024-01-13
454,2024-01-14
455,2024-01-15
456,2024-01-16
457,2024-01-17
458,2024-01-18
459,2024-01-19
460,2024-01-20
461,2024-01-21
462,2024-01-22
463,2024-01-23
464,2024-01-24
465,2024-01-25
466,2024-01-26
467,2024-01-27
468,2024-01-28
469,2024-01-29
470,2024-01-30
